slang,formal,In-dictionary,context,category1,category2,category3
amiin,amin,1,"Mika akan menjadi anak yang luarbiasa , amiin... Super dasyat buat bunda",elongasi,0,0
dasyat,dahsyat,1,"Mika akan menjadi anak yang luarbiasa , amiin... Super dasyat buat bunda",zeroisasi,0,0
pingin,pengin,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,modifikasi vokal,0,0
nangiss,menangis,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,afiksasi,elongasi,0
bgt,banget,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,abreviasi,0,0
yg,yang,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,abreviasi,0,0
jd,jadi,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,abreviasi,0,0
bgt,banget,1,Pingin nangiss.. bangga bgt juga. Salut buat kak @zahratuljannah yg jd bunda sabar bgt..,abreviasi,0,0
karna,karena,1,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",zeroisasi,0,0
nnton,menonton,1,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",afiksasi,abreviasi,0
kejadianny,kejadiannya,0,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",abreviasi,0,0
tp,tapi,1,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",abreviasi,0,0
ga,enggak,1,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",abreviasi,zeroisasi,0
main2,main-main,1,"Ya benar mbak , karna semua anak itu uniqe , coba deh mbak nnton film taare zameen par , kejadianny hampir sama tp ada penyelesaian kalo kita ada kemauan @zahratuljannah .. ?",reduplikasi,0,0
yg,yang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
kk,kakak,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
smua,semua,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
slalu,selalu,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
yg,yang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
slalu,selalu,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
kk,kakak,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
klg,keluarga,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
jd,jadi,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
yg,yang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
kk,kakak,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
sayaang,sayang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",elongasi,0,0
smoga,semoga,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
slalu,selalu,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
jd,jadi,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
kebanggan,kebanggaan,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
klg,keluarga,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
jd,jadi,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
yg,yang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
yg,yang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
slalu,selalu,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",zeroisasi,0,0
org,orang,1,"Yg sabar ya kk @zahratuljannah  insyaallah smua jalan slalu dipermudah ALLAH SWT jika kita ikhlas,yg penting mika slalu didampingi oleh kk n klg #bahagianya jd #kk @zahratuljannah  ibu yg hebat ,,semangat kk,,titip cium sayaang buat de'mika smoga panjang umur ,slalu jd kebanggan klg dan jd anak yg soleh yg slalu mendoakan kedua org tuanya,amien ya robb",abreviasi,0,0
jd,jadi,1,Bahagianya jd de'mika,abreviasi,0,0
jd,jadi,1,Bahagianya jd de'mika,abreviasi,0,0
yg,yang,1,Bahagianya jd de mika punya ibu yg cantik dan sayaang sama klg,abreviasi,0,0
sayaang,sayang,1,Bahagianya jd de mika punya ibu yg cantik dan sayaang sama klg,elongasi,0,0
klg,keluarga,1,Bahagianya jd de mika punya ibu yg cantik dan sayaang sama klg,abreviasi,0,0
pd,pada,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
msg2,masing-masing,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,reduplikasi,0
yg,yang,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
smg,semoga,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
yg,yang,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
yg,yang,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
org,orang,1,Proud of you bunda @zahratuljannah ....Allah memberikan keistimewaan pd msg2 anak. Dan  bunda telah melakukan yg terbaik buat Mika. Smg Mika tumbuh menjadi anak yg soleh yg menjadi kebanggaan org tuanya. Selamat ulang tahun buat Mika tersayang.....,abreviasi,0,0
bgt,banget,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
pd,pada,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
yg,yang,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
tp,tapi,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
hrs,harus,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
bgt,banget,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
dr,dari,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
nyesel,menyesal,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",afiksasi,0,0
bgt,banget,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
ga,enggak,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,zeroisasi,0
sblm,sebelum,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
pdhl,padahal,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
ngerasa,merasa,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",afiksasi,0,0
ga,enggak,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,zeroisasi,0
byk,banyak,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
pgnnya,penginnya,0,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
meluk,memeluk,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",afiksasi,0,0
tp,tapi,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,0,0
ga,enggak,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",abreviasi,zeroisasi,0
mudah2an,mudah-mudahan,1,"@irma_febriyanti huaa irmaa maafkan baru baca.. Terharu bgt.. Kata dokter, aku bisa dan harus berharap banyak pd mika, dia bisa jadi apa aja yg dia mau, tp aku hrs sabar bgt.. Kalo anak lain lari dr satu tempat ke  tempat lain perlu waktu 30 detik, buat mika bisa 4-5x lebih lama.. Iya ma, aku nyesel bgt ga sempet ketemu sblm pindah.. Thanks for trusting me, pdhl aku ngerasa ga bantu byk.. Pgnnya meluk, tp ga bisa.. Mudah2an nanti abis lebaran bisa ketemu.. Be strong, be patient, u're a great mom for anei, she is lucky to have you, you are lucky to have her.. We miss you a lot! Big hug and kisses ???",reduplikasi,0,0
kata2nya,kata-katanya,0,@melafbry kata2nya gak gombal lg.. Duh,reduplikasi,0,0
gak,enggak,1,@melafbry kata2nya gak gombal lg.. Duh,zeroisasi,0,0
lg,lagi,1,@melafbry kata2nya gak gombal lg.. Duh,abreviasi,0,0
duhh,duh,1,@danakitri duhh hae,elongasi,0,0
bangeet,banget,1,Romantis bangeet siiihhh miaw @mia_fitcoach #mupeng #baper #melting,elongasi,0,0
siiihhh,sih,1,Romantis bangeet siiihhh miaw @mia_fitcoach #mupeng #baper #melting,elongasi,0,0
